iso_code,location,max_vax_pct,max_fully_pct,n_vax_days,wgm_year,wgm_agree_safe,wgm_hesitant_safe,wgm_disagree_safe,wgm_disagree_effective,wgm_2019_agree,wgm_2019_hesitant,wgm_2023_agree,wgm_2023_hesitant,dtp3_2019,gdp_2019,log_gdp,hesitancy_change
ABW,Aruba,85.05,79.25,1080,,,,,,,,,,,30645.8906024548,10.330253857414815,
AFG,Afghanistan,46.56,44.67,1043,2019.0,85.962875,14.037125000000003,12.761021,9.860788,85.962875,14.037125000000003,,,65.0,496.6025042585,6.207789915869446,
AGO,Angola,46.5,27.0,1036,,,,,,,,,,64.0,2493.67884440177,7.8215143466578585,
AIA,Anguilla,68.36,65.38,772,,,,,,,,,,,,,
ALB,Albania,47.47,45.01,974,2019.0,82.47734,17.522660000000002,14.501511,23.26284,82.47734,17.522660000000002,,,99.0,6069.43903131027,8.711021463194774,
AND,Andorra,72.53,67.01,973,,,,,,,,,,99.0,41257.816459345,10.627595863735394,
ARG,Argentina,91.25,76.69,1125,2024.0,80.0,20.0,13.0,9.0,94.51553,5.484470000000002,79.0,21.0,83.0,9955.97478680428,9.205928131021869,15.515529999999998
ARM,Armenia,41.39,37.07,915,2023.0,62.0,38.0,32.0,27.0,71.10818,28.891819999999996,62.0,38.0,92.0,4597.22887399548,8.433208982253502,9.108180000000004
ATG,Antigua and Barbuda,68.56,66.53,578,,,,,,,,,,99.0,18896.3721832248,9.84672523464584,
AUS,Australia,84.93,82.7,1044,2023.0,78.0,22.0,15.0,14.0,,,78.0,22.0,95.0,55194.7585097428,10.918623273223075,
AUT,Austria,77.18,74.76,904,2023.0,69.0,31.0,25.0,22.0,80.75356,19.246440000000007,69.0,31.0,88.0,49885.9947355204,10.817495575722525,11.753559999999993
AZE,Azerbaijan,51.88,46.94,589,2019.0,58.399998,41.600002,36.2,35.399998,58.399998,41.600002,,,74.0,4805.75371765917,8.477569170218306,
BDI,Burundi,0.29,0.28,804,,,,,,,,,,93.0,234.31061590725,5.456647653523818,
BEL,Belgium,79.46,78.68,1141,2023.0,68.0,32.0,25.0,21.0,,,68.0,32.0,97.0,46716.6227467964,10.75185532779159,
BEN,Benin,27.69,20.54,586,2024.0,78.0,22.0,22.0,16.0,,,67.0,33.0,72.0,1130.82135339795,7.03069950908468,
BES,Bonaire Sint Eustatius and Saba,70.64,61.87,146,,,,,,,,,,,,,
BFA,Burkina Faso,26.86,23.08,782,2023.0,82.0,18.0,16.0,10.0,,,82.0,18.0,91.0,764.853077774946,6.6396837601854255,
BGD,Bangladesh,88.5,83.07,1254,2015.0,99.0,1.0,0.0,5.0,,,,,98.0,2129.79896954606,7.663782873754545,
BGR,Bulgaria,31.79,30.64,1279,2023.0,47.0,53.0,46.0,41.0,69.96381,30.036190000000005,47.0,53.0,93.0,10353.7204584127,9.245101198682539,22.963809999999995
BHR,Bahrain,84.31,83.33,729,,,,,,,,,,99.0,27259.7438599327,10.213166309019025,
BHS,Bahamas,42.64,40.73,791,,,,,,,,,,89.0,33640.3369861278,10.423481131460248,
BIH,Bosnia and Herzegovina,29.18,26.17,353,2023.0,56.0,44.0,36.0,30.0,67.2,32.8,56.0,44.0,80.0,6122.37541352353,8.719705439664365,11.200000000000003
BLR,Belarus,68.55,67.28,980,2023.0,55.0,45.0,34.0,30.0,,,55.0,45.0,98.0,6837.77339645635,8.830217430787368,
BLZ,Belize,63.78,54.63,784,,,,,,,,,,98.0,6171.61449761423,8.727715751651314,
BMU,Bermuda,75.62,74.22,545,,,,,,,,,,,115798.040775578,11.659602924941444,
BOL,Bolivia,60.22,50.4,613,,,,,,,,,,75.0,4203.15492855788,8.34359069574804,
BRA,Brazil,88.08,81.82,795,2024.0,79.0,21.0,11.0,10.0,,,81.0,19.0,70.0,9029.83304401079,9.108289157204757,
BRB,Barbados,58.18,55.05,1048,,,,,,,,,,90.0,21912.1501242857,9.994796562155557,
BRN,Brunei,100.48,99.49,820,,,,,,,,,,99.0,30426.5730656528,10.32307161958089,
BTN,Bhutan,89.35,86.61,584,,,,,,,,,,97.0,3576.87987100503,8.182246154967096,
BWA,Botswana,74.18,63.24,1012,,,,,,,,,,95.0,7172.08956480028,8.877952322767555,
CAF,Central African Republic,46.61,44.54,845,,,,,,,,,,38.0,449.228467602439,6.107531594859889,
CAN,Canada,90.35,82.59,1319,2023.0,74.0,26.0,18.0,16.0,,,74.0,26.0,91.0,46352.8693445211,10.744038475108562,
