Entity,Code,Year,Share that disagree that vaccines are important for children to have,World region according to OWID
Afghanistan,AFG,2015,3,Asia
Afghanistan,AFG,2019,5.858469,Asia
Albania,ALB,2019,10.171198,Europe
Algeria,DZA,2015,1,Africa
Argentina,ARG,2015,0,South America
Argentina,ARG,2019,1.6453383,South America
Argentina,ARG,2020,4,South America
Argentina,ARG,2022,7,South America
Argentina,ARG,2023,10,South America
Argentina,ARG,2024,17,South America
Armenia,ARM,2015,8,Asia
Armenia,ARM,2019,12.071239,Asia
Armenia,ARM,2023,16,Asia
Australia,AUS,2015,4,Oceania
Australia,AUS,2022,8,Oceania
Australia,AUS,2023,14,Oceania
Austria,AUT,2015,10,Europe
Austria,AUT,2019,11.303462,Europe
Austria,AUT,2020,10,Europe
Austria,AUT,2022,21,Europe
Austria,AUT,2023,23,Europe
Azerbaijan,AZE,2015,13.999999,Asia
Azerbaijan,AZE,2019,35.2,Asia
Bangladesh,BGD,2015,0,Asia
Belarus,BLR,2022,36,Europe
Belarus,BLR,2023,27,Europe
Belgium,BEL,2015,3,Europe
Belgium,BEL,2020,8,Europe
Belgium,BEL,2022,23,Europe
Belgium,BEL,2023,18,Europe
Benin,BEN,2022,18,Africa
Benin,BEN,2023,28,Africa
Benin,BEN,2024,10,Africa
Bosnia and Herzegovina,BIH,2015,11,Europe
Bosnia and Herzegovina,BIH,2019,18,Europe
Bosnia and Herzegovina,BIH,2023,26,Europe
Brazil,BRA,2015,0,South America
Brazil,BRA,2020,4,South America
Brazil,BRA,2022,9,South America
Brazil,BRA,2023,8,South America
Brazil,BRA,2024,5,South America
Bulgaria,BGR,2015,5,Europe
Bulgaria,BGR,2019,6.755127,Europe
Bulgaria,BGR,2020,9,Europe
Bulgaria,BGR,2022,32,Europe
Bulgaria,BGR,2023,38,Europe
Burkina Faso,BFA,2016,1,Africa
Burkina Faso,BFA,2020,6,Africa
Burkina Faso,BFA,2021,8.501953,Africa
Burkina Faso,BFA,2022,4,Africa
Burkina Faso,BFA,2023,6,Africa
Cambodia,KHM,2021,13,Asia
Cambodia,KHM,2022,2,Asia
Cameroon,CMR,2022,15.560503,Africa
Cameroon,CMR,2023,28,Africa
Canada,CAN,2015,6,North America
Canada,CAN,2022,13,North America
Canada,CAN,2023,14,North America
Chad,TCD,2022,14,Africa
Chad,TCD,2023,8,Africa
Chad,TCD,2024,7,Africa
Chile,CHL,2023,19,South America
China,CHN,2015,13,Asia
China,CHN,2021,4,Asia
Colombia,COL,2015,3,South America
Colombia,COL,2019,2.7850304,South America
Colombia,COL,2023,15,South America
Colombia,COL,2024,6,South America
Cote d'Ivoire,CIV,2020,14,Africa
Cote d'Ivoire,CIV,2022,16.57944,Africa
Cote d'Ivoire,CIV,2023,9.834963,Africa
Cote d'Ivoire,CIV,2024,4,Africa
Croatia,HRV,2020,6.49,Europe
Croatia,HRV,2022,35,Europe
Croatia,HRV,2023,29,Europe
Cyprus,CYP,2020,5.31,Europe
Cyprus,CYP,2022,17,Europe
Czechia,CZE,2015,6,Europe
Czechia,CZE,2019,7.007007,Europe
Czechia,CZE,2020,3,Europe
Czechia,CZE,2022,20,Europe
Democratic Republic of Congo,COD,2015,5,Africa
Democratic Republic of Congo,COD,2020,21.65428,Africa
Democratic Republic of Congo,COD,2022,23.855093,Africa
Democratic Republic of Congo,COD,2023,11,Africa
Denmark,DNK,2015,3,Europe
Denmark,DNK,2020,2,Europe
Denmark,DNK,2022,10,Europe
Denmark,DNK,2023,15,Europe
Ecuador,ECU,2015,0,South America
Ecuador,ECU,2019,1.7064847,South America
Ecuador,ECU,2020,7,South America
Egypt,EGY,2023,17,Africa
Estonia,EST,2020,6,Europe
Estonia,EST,2022,22,Europe
Estonia,EST,2023,17,Europe
Ethiopia,ETH,2015,1,Africa
Ethiopia,ETH,2020,2.9634264,Africa
Ethiopia,ETH,2023,1,Africa
Fiji,FJI,2015,8,Oceania
Fiji,FJI,2021,19,Oceania
Fiji,FJI,2022,19,Oceania
Finland,FIN,2015,2,Europe
Finland,FIN,2019,1.6457679,Europe
Finland,FIN,2020,1,Europe
Finland,FIN,2022,8,Europe
Finland,FIN,2023,9,Europe
France,FRA,2015,12,Europe
France,FRA,2019,10.104167,Europe
France,FRA,2020,11,Europe
France,FRA,2022,20,Europe
