Entity,Code,Year,Share that disagrees vaccines are safe
Afghanistan,AFG,2015,9
Afghanistan,AFG,2019,12.761021
Albania,ALB,2019,14.501511
Algeria,DZA,2015,4
Argentina,ARG,2015,1
Argentina,ARG,2019,2.3765998
Argentina,ARG,2020,6
Argentina,ARG,2022,9
Argentina,ARG,2023,15
Argentina,ARG,2024,13
Armenia,ARM,2015,21
Armenia,ARM,2019,21.635883
Armenia,ARM,2023,32
Australia,AUS,2015,6
Australia,AUS,2022,9
Australia,AUS,2023,15
Austria,AUT,2015,15
Austria,AUT,2019,16.802444
Austria,AUT,2020,14
Austria,AUT,2022,19
Austria,AUT,2023,25
Azerbaijan,AZE,2015,13
Azerbaijan,AZE,2019,36.2
Bangladesh,BGD,2015,0
Belarus,BLR,2022,37
Belarus,BLR,2023,34
Belgium,BEL,2015,14
Belgium,BEL,2020,11
Belgium,BEL,2022,21.1
Belgium,BEL,2023,25
Benin,BEN,2022,23
Benin,BEN,2023,25
Benin,BEN,2024,22
Bosnia and Herzegovina,BIH,2015,37
Bosnia and Herzegovina,BIH,2019,30.000002
Bosnia and Herzegovina,BIH,2023,36
Brazil,BRA,2015,6
Brazil,BRA,2020,8
Brazil,BRA,2022,9
Brazil,BRA,2023,14
Brazil,BRA,2024,11
Bulgaria,BGR,2015,12
Bulgaria,BGR,2019,13.027744
Bulgaria,BGR,2022,37.6
Bulgaria,BGR,2023,46
Burkina Faso,BFA,2016,12
Burkina Faso,BFA,2020,12
Burkina Faso,BFA,2021,16.50586
Burkina Faso,BFA,2022,9
Burkina Faso,BFA,2023,16
Cambodia,KHM,2021,9
Cambodia,KHM,2022,3
Cameroon,CMR,2022,27
Cameroon,CMR,2023,32
Canada,CAN,2015,12
Canada,CAN,2022,13
Canada,CAN,2023,18
Chad,TCD,2022,16
Chad,TCD,2023,14
Chad,TCD,2024,14
Chile,CHL,2023,23
China,CHN,2015,16
China,CHN,2021,4
Colombia,COL,2015,9
Colombia,COL,2019,7.223673
Colombia,COL,2023,19
Colombia,COL,2024,14
Cote d'Ivoire,CIV,2020,23
Cote d'Ivoire,CIV,2022,23.42056
Cote d'Ivoire,CIV,2023,18.265282
Cote d'Ivoire,CIV,2024,10
Croatia,HRV,2020,13.6
Croatia,HRV,2022,27.7
Croatia,HRV,2023,38
Cyprus,CYP,2020,13.19
