Entity,Code,Year,Share that agrees vaccines are safe
Afghanistan,AFG,2015,90
Afghanistan,AFG,2019,85.962875
Albania,ALB,2019,82.47734
Algeria,DZA,2015,88
Argentina,ARG,2015,98
Argentina,ARG,2019,94.51553
Argentina,ARG,2020,89
Argentina,ARG,2022,85
Argentina,ARG,2023,79
Argentina,ARG,2024,80
Armenia,ARM,2015,67
Armenia,ARM,2019,71.10818
Armenia,ARM,2023,62
Australia,AUS,2015,91
Australia,AUS,2022,85
Australia,AUS,2023,78
Austria,AUT,2015,83
Austria,AUT,2019,80.75356
Austria,AUT,2020,84
Austria,AUT,2022,77.5
Austria,AUT,2023,69
Azerbaijan,AZE,2015,65
Azerbaijan,AZE,2019,58.399998
Bangladesh,BGD,2015,99
Belarus,BLR,2022,48
Belarus,BLR,2023,55
Belgium,BEL,2015,79
Belgium,BEL,2020,84
Belgium,BEL,2022,74.7
Belgium,BEL,2023,68
Benin,BEN,2022,58
Benin,BEN,2023,67
Benin,BEN,2024,78
Bosnia and Herzegovina,BIH,2015,58
Bosnia and Herzegovina,BIH,2019,67.2
Bosnia and Herzegovina,BIH,2023,56
Brazil,BRA,2015,93
Brazil,BRA,2020,86
Brazil,BRA,2022,88
Brazil,BRA,2023,81
Brazil,BRA,2024,79
Bulgaria,BGR,2015,69
Bulgaria,BGR,2019,69.96381
Bulgaria,BGR,2022,58.3
Bulgaria,BGR,2023,47
Burkina Faso,BFA,2016,84
Burkina Faso,BFA,2020,83
Burkina Faso,BFA,2021,80.490234
Burkina Faso,BFA,2022,90
Burkina Faso,BFA,2023,82
Cambodia,KHM,2021,85
Cambodia,KHM,2022,97
Cameroon,CMR,2022,69
Cameroon,CMR,2023,52
Canada,CAN,2015,84
Canada,CAN,2022,82
Canada,CAN,2023,74
Chad,TCD,2022,75
Chad,TCD,2023,83
Chad,TCD,2024,80
Chile,CHL,2023,70
China,CHN,2015,83
China,CHN,2021,95
Colombia,COL,2015,91
Colombia,COL,2019,92.16711
Colombia,COL,2023,71
Colombia,COL,2024,80
Cote d'Ivoire,CIV,2020,67
Cote d'Ivoire,CIV,2022,71.06355
Cote d'Ivoire,CIV,2023,79.42909
Cote d'Ivoire,CIV,2024,88
Croatia,HRV,2020,84.130005
Croatia,HRV,2022,68
Croatia,HRV,2023,52
Cyprus,CYP,2020,83.28001
Cyprus,CYP,2022,82.07172
Czechia,CZE,2015,83
Czechia,CZE,2019,84.88489
Czechia,CZE,2020,84
Czechia,CZE,2022,70.5
Democratic Republic of Congo,COD,2015,83
Democratic Republic of Congo,COD,2020,68.01858
Democratic Republic of Congo,COD,2022,64.61759
Democratic Republic of Congo,COD,2023,76
Denmark,DNK,2015,88
Denmark,DNK,2020,93
Denmark,DNK,2022,88.011986
Denmark,DNK,2023,77
Ecuador,ECU,2015,95
Ecuador,ECU,2019,94.19795
Ecuador,ECU,2020,81
Egypt,EGY,2023,81
Estonia,EST,2020,84
Estonia,EST,2022,72.6
Estonia,EST,2023,61
Ethiopia,ETH,2015,95
Ethiopia,ETH,2020,83.963425
Ethiopia,ETH,2023,94
Fiji,FJI,2015,83
Fiji,FJI,2021,90
Fiji,FJI,2022,85
Finland,FIN,2015,93
Finland,FIN,2019,95.76803
Finland,FIN,2020,94
Finland,FIN,2022,88
Finland,FIN,2023,77
France,FRA,2015,50
France,FRA,2019,72.916664
France,FRA,2020,75
France,FRA,2022,76.12388
France,FRA,2023,63.50746
Gabon,GAB,2020,68
Georgia,GEO,2015,82
Georgia,GEO,2023,65
Germany,DEU,2015,88
Germany,DEU,2019,83.26489
Germany,DEU,2020,82.5
Germany,DEU,2022,82.717285
Germany,DEU,2023,71
Ghana,GHA,2015,94
Ghana,GHA,2022,68.97782
Ghana,GHA,2023,79.291214
Ghana,GHA,2024,84
Greece,GRC,2015,71
Greece,GRC,2022,78.9
Greece,GRC,2023,66
Hong Kong,HKG,2015,76
Hong Kong,HKG,2019,77.05545
Hong Kong,HKG,2023,68
Hungary,HUN,2020,87
Hungary,HUN,2022,78.2
Hungary,HUN,2023,50.0015
Iceland,ISL,2015,85
India,IND,2015,88
India,IND,2019,93.91824
India,IND,2020,92
India,IND,2022,97
India,IND,2023,90
Indonesia,IDN,2015,95
Indonesia,IDN,2019,87.5121
Indonesia,IDN,2022,83
Indonesia,IDN,2023,77
Indonesia,IDN,2024,82
Iran,IRN,2015,69
Iraq,IRQ,2019,89
Iraq,IRQ,2023,74
Ireland,IRL,2015,85
Ireland,IRL,2019,87.833824
Ireland,IRL,2020,87
Ireland,IRL,2022,87.6
Ireland,IRL,2023,72
Israel,ISR,2023,66
Italy,ITA,2015,73
Italy,ITA,2019,87.3057
Italy,ITA,2020,82.5
Italy,ITA,2022,85.1
Italy,ITA,2023,67.49751
Japan,JPN,2015,55
Japan,JPN,2019,68.516914
Japan,JPN,2021,59.999996
Japan,JPN,2022,61
Japan,JPN,2023,51
Kazakhstan,KAZ,2019,65.375
Kazakhstan,KAZ,2023,59
Kenya,KEN,2020,80
Kenya,KEN,2021,78.50024
Kenya,KEN,2022,88
Kenya,KEN,2023,88
Kenya,KEN,2024,89
Kosovo,OWID_KOS,2015,83
Kosovo,OWID_KOS,2019,85.1925
Laos,LAO,2021,93
Laos,LAO,2022,91
Latvia,LVA,2015,72
Latvia,LVA,2020,75
Latvia,LVA,2022,60.83916
Latvia,LVA,2023,42
Lebanon,LBN,2015,85
Lebanon,LBN,2020,88
Liberia,LBR,2022,78
Liberia,LBR,2023,89
Libya,LBY,2021,75
Libya,LBY,2022,68
Libya,LBY,2023,81
Libya,LBY,2024,73
Lithuania,LTU,2020,89
Lithuania,LTU,2022,72.4
Lithuania,LTU,2023,53
Luxembourg,LUX,2020,87
Luxembourg,LUX,2022,84.799995
Malawi,MWI,2020,88
Malaysia,MYS,2019,78.960396
Malaysia,MYS,2021,81
Malaysia,MYS,2022,69
Malaysia,MYS,2023,74
Malaysia,MYS,2024,83
Mali,MLI,2016,91
Mali,MLI,2022,87.45192
Mali,MLI,2023,81.11376
Mali,MLI,2024,91
Malta,MLT,2020,83
Malta,MLT,2022,71.8
Mauritania,MRT,2016,90
Mexico,MEX,2015,85
Mexico,MEX,2019,85.8
Mexico,MEX,2022,93
Mexico,MEX,2023,86
Mexico,MEX,2024,86
Mongolia,MNG,2015,69
Mongolia,MNG,2021,71
Mongolia,MNG,2022,71
Morocco,MAR,2015,89
Morocco,MAR,2020,78
Netherlands,NLD,2015,75
Netherlands,NLD,2020,82
Netherlands,NLD,2022,74.4
Netherlands,NLD,2023,70
New Zealand,NZL,2022,81
New Zealand,NZL,2023,75
Niger,NER,2016,91
Niger,NER,2020,88
Niger,NER,2022,78.96337
Niger,NER,2023,92.1254
Niger,NER,2024,95
Nigeria,NGA,2015,92
Nigeria,NGA,2016,95
Nigeria,NGA,2019,93
Nigeria,NGA,2020,90.49483
Nigeria,NGA,2022,81.48381
Nigeria,NGA,2023,88.523605
North Macedonia,MKD,2015,73
North Macedonia,MKD,2019,68.974144
North Macedonia,MKD,2023,70
Norway,NOR,2023,79
Pakistan,PAK,2015,92
Pakistan,PAK,2019,85.3
Pakistan,PAK,2020,75
Pakistan,PAK,2022,68
Pakistan,PAK,2023,81
Palestine,PSE,2015,88
Panama,PAN,2015,91
Papua New Guinea,PNG,2015,85
Papua New Guinea,PNG,2021,41
Papua New Guinea,PNG,2022,83
Peru,PER,2015,90
Peru,PER,2019,89.8
Peru,PER,2020,80
Peru,PER,2022,87
Philippines,PHL,2015,98
Philippines,PHL,2019,87.9
Philippines,PHL,2022,68
Philippines,PHL,2023,82
